ticker,in_universe,sponsor,bucket,price_endpoint_status,price_source_confirmed,nav_source_status,nav_sponsor_endpoint,nav_earliest_date_confirmed,nav_frequency,nav_format,automated_nav_available,manual_download_required,classification,notes
SPY,true,State Street (SPDR),domestic_equity,live,yahoo_chart_json,live,ssga.com navhist.xlsx,2003-12-01,daily,xlsx,true,false,nav_enhanced_ready,"Confirmed working 2026-07-10; formula validated in Phase 3"
EEM,true,iShares (BlackRock),international_equity,live,yahoo_chart_json,blocked_this_session,none found (JS-rendered SPA),,daily,csv (manual),false,true,manual_nav_required,"Price OK; no keyless NAV endpoint found via static HTML - needs browser-observed download URL"
TLT,true,iShares (BlackRock),rates,live,yahoo_chart_json,blocked_this_session,none found (JS-rendered SPA),,daily,csv (manual),false,true,manual_nav_required,"Same iShares limitation as EEM"
LQD,true,iShares (BlackRock),ig_credit,live,yahoo_chart_json,blocked_this_session,none found (JS-rendered SPA),,daily,csv (manual),false,true,manual_nav_required,"Same iShares limitation as EEM"
HYG,true,iShares (BlackRock),hy_credit,live,yahoo_chart_json,blocked_this_session,none found (JS-rendered SPA),,daily,csv (manual),false,true,manual_nav_required,"Same iShares limitation as EEM"
GLD,false,State Street (SPDR Gold Trust),commodity_trust_not_in_universe,live,yahoo_chart_json,live,api.spdrgoldshares.com historical-archive.xlsx,2004-11-18,daily,xlsx,true,false,nav_enhanced_ready,"NOT in the registered universe (physical commodity trust, structurally excluded per SPEC.md 1.5) - classification given for reference only. Its NAV file also carries the sponsor's own published premium/discount field, used only for Phase 3 formula validation, not for the panel pipeline"
IVV,true,iShares (BlackRock),domestic_equity,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Not in the 6-ticker representative sample; expected iShares-pattern (see EEM)"
QQQ,true,Invesco,domestic_equity,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Sponsor mapping was MISSING from data_notes.md before this audit (fixed) - Invesco, not iShares/SPDR"
XLF,true,State Street (SPDR Select Sector),sector_equity,not_tested_this_session,,live,ssga.com navhist.xlsx,not_confirmed_this_session,daily,xlsx,true,false,nav_enhanced_ready,"navhist.xlsx endpoint confirmed reachable (200) 2026-07-10; content not parsed this session"
XLE,true,State Street (SPDR Select Sector),sector_equity,not_tested_this_session,,live,ssga.com navhist.xlsx,not_confirmed_this_session,daily,xlsx,true,false,nav_enhanced_ready,"Same as XLF"
XLK,true,State Street (SPDR Select Sector),sector_equity,not_tested_this_session,,live,ssga.com navhist.xlsx,not_confirmed_this_session,daily,xlsx,true,false,nav_enhanced_ready,"Same as XLF"
JNK,true,State Street (SPDR),hy_credit,not_tested_this_session,,live,ssga.com navhist.xlsx,not_confirmed_this_session,daily,xlsx,true,false,nav_enhanced_ready,"Same as XLF"
EFA,true,iShares (BlackRock),international_equity,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Expected iShares-pattern (see EEM)"
VWO,true,Vanguard,international_equity,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Not probed this session; Vanguard site not checked"
AGG,true,iShares (BlackRock),ig_credit,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Expected iShares-pattern (see EEM)"
BND,true,Vanguard,ig_credit,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Not probed this session; Vanguard site not checked"
IEF,true,iShares (BlackRock),rates,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Expected iShares-pattern (see EEM)"
SHY,true,iShares (BlackRock),rates,not_tested_this_session,,not_tested_this_session,,,,,false,true,manual_nav_required,"Expected iShares-pattern (see EEM)"
